date,price
2019. 9. 16,154500
2019. 9. 17,155000
2019. 9. 18,159000
2019. 9. 19,157500
2019. 9. 20,157000
2019. 9. 23,157000
2019. 9. 24,158000
2019. 9. 25,158000
2019. 9. 26,158000
2019. 9. 27,156000
2019. 9. 30,157000
2019. 10. 1,160000
2019. 10. 2,157000
2019. 10. 4,150500
2019. 10. 7,153000
2019. 10. 8,153500
2019. 10. 10,153500
2019. 10. 11,156000
2019. 10. 14,156000
2019. 10. 15,151500
2019. 10. 16,154500
2019. 10. 17,153000
2019. 10. 18,150500
2019. 10. 21,152000
2019. 10. 22,154000
2019. 10. 23,152500
2019. 10. 24,153000
2019. 10. 25,152500
2019. 10. 28,157000
2019. 10. 29,153000
2019. 10. 30,154500
2019. 10. 31,164000
2019. 11. 1,167000
2019. 11. 4,164500
2019. 11. 5,161500
2019. 11. 6,161500
2019. 11. 7,165500
2019. 11. 8,163500
2019. 11. 11,163000
2019. 11. 12,162000
2019. 11. 13,158000
2019. 11. 14,180000
2019. 11. 15,173500
2019. 11. 18,178500
2019. 11. 19,170500
2019. 11. 20,169500
2019. 11. 21,170000
2019. 11. 22,167500
2019. 11. 25,174000
2019. 11. 26,173000
2019. 11. 27,172500
2019. 11. 28,173000
2019. 11. 29,172000
2019. 12. 2,171500
2019. 12. 3,172000
2019. 12. 4,174500
2019. 12. 5,170500
2019. 12. 6,174000
2019. 12. 9,175000
2019. 12. 10,174500
2019. 12. 11,174000
2019. 12. 12,175500
2019. 12. 13,175500
2019. 12. 16,179500
2019. 12. 17,180500
2019. 12. 18,178500
2019. 12. 19,179000
2019. 12. 20,183500
2019. 12. 23,184000
2019. 12. 24,182000
2019. 12. 26,180500
2019. 12. 27,183500
2019. 12. 30,186500
2020. 1. 2,182500
2020. 1. 3,181500
2020. 1. 6,180500
2020. 1. 7,187000
2020. 1. 8,183000
2020. 1. 9,186000
2020. 1. 10,188000
2020. 1. 13,188000
2020. 1. 14,190500
2020. 1. 15,191500
2020. 1. 16,191500
2020. 1. 17,191000
2020. 1. 20,187500
2020. 1. 21,182000
2020. 1. 22,186000
2020. 1. 23,183000
2020. 1. 28,178500
2020. 1. 29,180000
2020. 1. 30,180000
2020. 1. 31,179500
2020. 2. 3,177500
2020. 2. 4,180500
2020. 2. 5,181500
2020. 2. 6,181500
2020. 2. 7,185000
2020. 2. 10,183500
2020. 2. 11,184500
2020. 2. 12,185000
2020. 2. 13,184500
2020. 2. 14,186500
2020. 2. 17,188500
2020. 2. 18,186500
2020. 2. 19,189500
2020. 2. 20,190000
2020. 2. 21,189500
2020. 2. 24,184000
2020. 2. 25,190500
2020. 2. 26,187000
2020. 2. 27,182000
2020. 2. 28,174000
2020. 3. 2,175000
2020. 3. 3,175000
